2019-12-06 10:15:54,899 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:16:04,900 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:16:14,900 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:16:24,901 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:16:34,902 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:16:44,902 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:16:54,903 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:17:04,903 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:17:14,904 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:17:24,904 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:17:34,905 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:17:44,905 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:17:54,906 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:18:04,906 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:18:14,907 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:18:24,908 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:18:34,908 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:18:44,909 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:18:54,909 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:19:04,910 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:19:14,911 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:19:24,911 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:19:34,912 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:19:44,912 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:19:54,913 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:20:04,913 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:20:14,914 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:20:24,914 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
